"Empresa";"Data";"Tipo Movimento";"Qtde Requisições";"Total Desconto";"Total Venda";
"2006";"19/12/2012 (Quarta-feira)";"Saída por Venda Balcão";"0009";"34,15";"478,54";
"2006";"20/12/2012 (Quinta-feira)";"Saída para Oficina";"0002";"23,03";"321,17";
"2006";"20/12/2012 (Quinta-feira)";"Saída por Venda Balcão";"0006";"98,68";"737,14";
"2006";"21/12/2012 (Sexta-feira)";"Saída para Oficina";"0006";"703,45";"2.063,49";
"2006";"21/12/2012 (Sexta-feira)";"Saída por Venda Balcão";"0004";"20,18";"305,28";
"2006";"22/12/2012 (Sábado)";"Saída para Oficina";"0003";"0,20";"240,24";
"2006";"26/12/2012 (Quarta-feira)";"Saída para Oficina";"0005";"32,10";"607,08";
"2006";"26/12/2012 (Quarta-feira)";"Saída por Venda Balcão";"0007";"83,50";"525,96";
"2006";"27/12/2012 (Quinta-feira)";"Saída para Oficina";"0003";"0,00";"752,10";
"2006";"27/12/2012 (Quinta-feira)";"Saída por Venda Balcão";"0004";"6,70";"76,90";
"2006";"28/12/2012 (Sexta-feira)";"Saída por Brinde - Almoxarifado";"0002";"0,00";"63,80";
"2006";"28/12/2012 (Sexta-feira)";"Saída por Venda Balcão";"0002";"5,47";"61,92";
"2006";"03/01/2013 (Quinta-feira)";"Saída para Oficina";"0003";"0,00";"120,68";
"2006";"03/01/2013 (Quinta-feira)";"Saída por Venda Balcão";"0001";"0,96";"12,00";
"2006";"04/01/2013 (Sexta-feira)";"Saída para Oficina";"0005";"0,00";"205,85";
"2006";"04/01/2013 (Sexta-feira)";"Saída por Venda Balcão";"0004";"1,00";"57,90";
"2006";"05/01/2013 (Sábado)";"Saída para Oficina";"0005";"4,33";"299,35";
"2006";"05/01/2013 (Sábado)";"Saída por Venda Balcão";"0002";"0,30";"24,90";
"2006";"07/01/2013 (Segunda-feira)";"Saída para Oficina";"0002";"0,00";"179,00";
"2006";"07/01/2013 (Segunda-feira)";"Saída por Venda Balcão";"0005";"31,03";"431,05";
"2006";"08/01/2013 (Terça-feira)";"Saída para Oficina";"0009";"18,00";"889,74";
"2006";"08/01/2013 (Terça-feira)";"Saída por Venda Balcão";"0002";"0,00";"69,90";
"2006";"09/01/2013 (Quarta-feira)";"Saída para Oficina";"0004";"56,69";"950,16";
"2006";"09/01/2013 (Quarta-feira)";"Saída por Venda Balcão";"0001";"0,31";"16,00";
"2006";"10/01/2013 (Quinta-feira)";"Saída para Oficina";"0001";"4,73";"76,00";
"2006";"10/01/2013 (Quinta-feira)";"Saída por Venda Balcão";"0002";"0,63";"68,90";
"2006";"11/01/2013 (Sexta-feira)";"Saída para Oficina";"0001";"0,00";"371,81";
"2006";"11/01/2013 (Sexta-feira)";"Saída por Venda Balcão";"0008";"34,27";"1.419,66";
"2006";"12/01/2013 (Sábado)";"Saída para Oficina";"0004";"0,00";"182,63";
"2006";"12/01/2013 (Sábado)";"Saída por Venda Balcão";"0002";"0,73";"116,23";
"2006";"14/01/2013 (Segunda-feira)";"Saída para Oficina";"0001";"0,00";"53,95";
"2006";"14/01/2013 (Segunda-feira)";"Saída por Venda Balcão";"0007";"1,59";"317,86";
"2006";"15/01/2013 (Terça-feira)";"Entrada por Garantia";"0003";"0,00";"27,04";
"2006";"15/01/2013 (Terça-feira)";"Saída para Oficina";"0005";"18,65";"818,85";
"2006";"15/01/2013 (Terça-feira)";"Saída por Venda Balcão";"0005";"32,55";"428,53";
"2006";"16/01/2013 (Quarta-feira)";"Entrada por Garantia";"0001";"0,00";"12,16";
"2006";"16/01/2013 (Quarta-feira)";"Saída para Oficina";"0004";"26,70";"793,90";
"2006";"16/01/2013 (Quarta-feira)";"Saída por Venda Balcão";"0002";"0,00";"60,76";
"2006";"16/01/2013 (Quarta-feira)";"Saída Simples Remessa para Garantia";"0001";"0,00";"12,16";
"2006";"17/01/2013 (Quinta-feira)";"Saída para Oficina";"0002";"0,00";"107,90";
"2006";"17/01/2013 (Quinta-feira)";"Saída por Venda Balcão";"0003";"6,78";"178,38";
"2006";"18/01/2013 (Sexta-feira)";"Saída para Oficina";"0005";"175,15";"1.765,78";
"2006";"18/01/2013 (Sexta-feira)";"Saída por Venda Balcão";"0003";"20,10";"217,18";
"2006";"19/01/2013 (Sábado)";"Saída para Oficina";"0005";"0,00";"558,39";
"2006";"19/01/2013 (Sábado)";"Saída por Venda Balcão";"0005";"5,00";"814,92";
"2006";"21/01/2013 (Segunda-feira)";"Saída para Oficina";"0006";"109,60";"1.284,97";
"2006";"22/01/2013 (Terça-feira)";"Saída para Oficina";"0001";"0,00";"177,19";
"2006";"22/01/2013 (Terça-feira)";"Saída por Venda Balcão";"0001";"0,00";"31,28";
"2006";"23/01/2013 (Quarta-feira)";"Saída para Oficina";"0007";"341,81";"2.883,43";
"2006";"23/01/2013 (Quarta-feira)";"Saída por Perda/Quebra";"0001";"0,00";"59,63";
"2006";"23/01/2013 (Quarta-feira)";"Saída por Venda Balcão";"0002";"0,00";"267,49";
"2006";"24/01/2013 (Quinta-feira)";"Saída para Oficina";"0004";"42,75";"774,68";
"2006";"24/01/2013 (Quinta-feira)";"Saída por Venda Balcão";"0006";"81,06";"881,48";
"2006";"25/01/2013 (Sexta-feira)";"Saída para Oficina";"0002";"10,59";"170,85";
"2006";"25/01/2013 (Sexta-feira)";"Saída por Perda/Quebra";"0001";"0,00";"85,91";
"2006";"25/01/2013 (Sexta-feira)";"Saída por Venda Balcão";"0003";"3,27";"124,03";
"2006";"26/01/2013 (Sábado)";"Saída para Oficina";"0001";"15,18";"82,13";
"2006";"26/01/2013 (Sábado)";"Saída por Venda Balcão";"0001";"0,00";"87,76";
"2006";"28/01/2013 (Segunda-feira)";"Saída para Oficina";"0006";"0,00";"430,17";
